name,upvotes,downvotes,year,order
Five O'Clock Au Gingembre Serge Lutens (unisex) ~ 2008,15,12,2008,378
Comme des Garcons 2 Comme des Garcons (unisex) ~ 1999,17,16,1999,379
Un Jardin en Méditerranée Hermès (unisex) ~ 2003,14,10,2003,380
Trussardi Uomo Trussardi (male) ~ 1983,24,31,1983,381
Eau de Guerlain Guerlain (unisex) ~ 1974,18,19,1974,382
Ganymede Marc-Antoine Barrois (unisex) ~ 2019,20,23,2019,383
Givenchy pour Homme Givenchy (male) ~ 2002,20,23,2002,384
Gianfranco Ferre for Man Gianfranco Ferre (male) ~ 1986,13,9,1986,385
Derby Guerlain (male) ~ 2012,15,13,2012,386
Aventus Cologne Creed (male) ~ 2018,20,23,2018,387
Brut Brut Parfums Prestige (male) ~ 1964,15,13,1964,388
Insense Givenchy (male) ~ 1993,13,9,1993,389
Quasar Jesus Del Pozo (male) ~ 1994,12,7,1994,390
Good Life Davidoff (male) ~ 1998,12,7,1998,391
Lolita Lempicka Au Masculin Lolita Lempicka (male) ~ 2000,10,3,2000,392
Rien Etat Libre d'Orange (unisex) ~ 2006,22,28,2006,393
Myths Man Amouage (male) ~ 2016,16,16,2016,394
Nio Xerjoff (male) ~ 2009,19,22,2009,395
Lacoste Lacoste Fragrances (male) ~ 1984,15,14,1984,396
Armani Attitude Giorgio Armani (male) ~ 2007,13,10,2007,397
Monsieur Rochas Eau de Toilette Rochas (male) ~ 1968,10,4,1968,398
